S0001	You may also be interested in…	También podría interesarle…
S0002	Patient experiences	Experiencias de pacientes
S0003	Availability of Pantogar® product range or corresponding local products	Disponibilidad de la línea de productos Pantogar® o de los productos locales correspondientes
S0004	Convincing results	Resultados convincentes
S0005	How Pantogar® capsules works	Cómo funcionan las cápsulas Pantogar®
S0006	Professional advice	Asesoramiento profesional
S0007	Preparation for doctor's visit	Preparación para la consulta médica
S0008	Hair facts	Datos sobre el cabello
S0009	Emotional effects of hair loss	Efectos emocionales de la caída del cabello
S0010	Pantogar® vegan capsules	Cápsulas veganas Pantogar®
S0011	Nutritional supply	Aporte nutricional
S0012	How Pantogar® vegan capsules works	Cómo funcionan las cápsulas veganas Pantogar®
S0013	General styling tips	Consejos generales de estilizado
S0014	Pantogar® capsules	Cápsulas Pantogar®
S0015	Causes of male hair loss	Causas de la caída del cabello en hombres
S0016	Hair growth	Crecimiento del cabello
S0017	Structure of healthy hair	Estructura del cabello sano
S0018	Hair loss in women	Caída del cabello en mujeres
S0019	Hair loss in men	Caída del cabello en hombres
S0020	How to use Pantogar®	Cómo usar Pantogar®
S0021	Types of male hair loss	Tipos de caída del cabello en hombres
S0022	How to use Pantogar® vegan capsules	Cómo usar las cápsulas veganas Pantogar®
S0069	Products	Productos
S0070	Website	Sitio web
S0071	Product	Producto
S0073	Tips for haircare products	Consejos sobre productos para el cuidado capilar
S0074	Diffuse hair loss has many triggers – what causes yours?	La alopecia difusa puede tener múltiples causas. ¿Cuál es la suya?
S0075	Types of female hair loss	Tipos de caída del cabello en mujeres
S0077	Hair and Nails	Cabello y uñas
S0078	The right advice is the basis for successful treatment	El asesoramiento adecuado es la base de un tratamiento exitoso
S0079	How do I treat my hair loss?	¿Cómo trato mi caída del cabello?
S0080	How your doctor diagnoses hair loss	Cómo diagnostica su médico la caída del cabello
S0081	Scalp inspection / hair parting	Inspección del cuero cabelludo / raya del cabello
S0082	Plucking or epilation test	Prueba de tracción o epilación
S0083	Scouring through the hair	Exploración manual del cabello
S0084	Hair rubbing test	Prueba de fricción del cabello
S0085	Blood test	Análisis de sangre
S0086	TrichoScan	TrichoScan
S0087	Trichogram – light microscopic hair analysis	Tricograma – análisis microscópico del cabello
S0088	Assessment of the hair	Evaluación del cabello
S0089	Scalp biopsy	Biopsia del cuero cabelludo
S0090	You may also be interested in...	También podría interesarle...
S0091	Diffuse hair loss	Alopecia difusa
S0092	Alopecia areata	Alopecia areata
S0096	How to use	Modo de uso
S0100	1. Anagen phase (growth phase)	1. Fase anágena (fase de crecimiento)
S0101	2. Catagen phase (transitional phase)	2. Fase catágena (fase de transición)
S0102	3. Telogen phase (resting phase)	3. Fase telógena (fase de reposo)
S0104	Fingernail growth	Crecimiento de las uñas
S0105	Causes of brittle fingernails	Causas de las uñas quebradizas
S0107	Protect your fingernails!	¡Proteja sus uñas!
